objectid,name,address,lng,lat,type_,subtype_,source,verified,exisitng,contact,website,comment_,city,state,zip
1,Jardin Del Rio,2363 N. Riverdale Avenue,-118.23460919000,34.09124006000,Community Garden,,Community Garden Database,Verified,null,David De La Torre 310-233-2002 david.delatorre@psterminals.com,,,Los Angeles,CA,90031
2,Long Beach Grows Unity Farm,5450 Atherton Street,-118.12686776000,33.78817769000,Community Garden,,Community Garden Database,Verified,null,Steve Passmore 562-912-3364 info@longbeachgrows.org,,,Long Beach,CA,90815
3,F And A Nursery,7399 Crider Avenue,-118.11027271000,33.98383095000,Nursery,,Nursery Database,Verified,null,,,,Pico Rivera,CA,90660
4,Santa Fe Springs Community Garden,10145 Pioneer Boulevard,-118.08158172000,33.94403714000,Community Garden,,Community Garden Database,Verified,null,Michelle Smith 562-948-1986 michellesmith@santafesprings.org,,,Santa Fe Springs,CA,90670
5,Four Seasons Wholesale Nursery,Plummer Street,-118.54728006000,34.24275206000,Nursery,,Nursery Database,Verified,null,,,,Northridge,CA,91324
6,El Castillo Nursery,555 West 146th Street,-118.28457629000,33.89963956000,Nursery,,Nursery Database,Verified,null,,,,Gardena,CA,90247
7,Fantasy Nursery,16526 Circle Hill Lane,-117.94976779000,33.98563293000,Nursery,,Nursery Database,Verified,null,,,,Hacienda,CA,91745
8,Four Seasons Ornamental,243 Euclid St.,-118.50272007000,34.03709361000,Nursery,,Nursery Database,Verified,null,,,,Santa Monica,CA,90402
9,Emerson Avenue Community Garden,6550 West 80th Street,-118.40424525000,33.96932326000,Community Garden,,Community Garden Database,Verified,null,Dorothy Stone 310-337-0827 eacgc@yahoo.com,,,Westchester,CA,90045
10,"Grand View Geranium Gardens, Incorporated",18307 South Central Avenue,-118.24881716000,33.88189800000,Nursery,,Nursery Database,Verified,null,,,,Carson,CA,90747
11,We Garden,1010 Abbot Kinney Blvd,-118.47218907000,33.99211615000,Community Garden,,Community Garden Database,Verified,null,,,,Los Angeles,CA,90201
12,Junior'S Nursery,18836 Satrcoy St,-118.54044183000,34.20087433000,Nursery,,Nursery Database,Verified,null,,,,Reseda,CA,91335
